id,open,high,low,close
387,3357.135,3357.185,3356.715,3356.715
388,3356.615,3356.775,3356.415,3356.665
389,3356.635,3357.475,3356.595,3357.205
390,3357.225,3357.785,3357.155,3357.595
391,3357.625,3358.085,3357.595,3358.045
392,3358.075,3358.765,3358.075,3358.675
393,3358.655,3358.915,3358.505,3358.735
394,3358.715,3359.185,3358.705,3358.805
395,3358.845,3359.405,3358.035,3358.165
396,3358.185,3358.185,3356.895,3357.285
397,3357.315,3357.315,3356.435,3356.625
398,3356.665,3357.255,3356.525,3356.595
399,3356.615,3356.985,3356.415,3356.835
400,3356.745,3356.875,3355.685,3355.685
401,3355.655,3356.055,3355.175,3355.855
402,3355.885,3356.495,3355.735,3355.915
403,3355.935,3356.255,3355.395,3355.455
404,3355.415,3356.605,3355.148,3356.575
405,3356.595,3356.875,3356.425,3356.615
406,3356.655,3356.765,3356.458,3356.635
407,3356.635,3356.755,3356.458,3356.755
408,3356.725,3356.725,3356.458,3356.605
409,3356.565,3356.835,3356.458,3356.605
410,3356.585,3356.915,3356.458,3356.835
411,3356.805,3358.348,3356.658,3357.925
412,3357.905,3358.155,3356.965,3357.535
413,3357.665,3357.855,3356.335,3356.635
414,3356.615,3356.915,3356.175,3356.655
415,3356.635,3356.645,3356.245,3356.565
416,3356.585,3356.905,3356.365,3356.905
417,3357.235,3357.365,3356.985,3357.085
418,3357.065,3357.265,3356.735,3357.225
419,3357.255,3357.325,3356.665,3356.665
420,3356.685,3357.555,3356.685,3357.535
421,3357.575,3357.965,3357.485,3357.525
422,3357.335,3357.465,3356.885,3357.145
423,3357.255,3357.675,3357.255,3357.435
424,3357.465,3357.495,3356.965,3357.045
425,3357.015,3357.535,3356.555,3357.535
426,3357.515,3357.515,3356.905,3356.905
427,3356.925,3357.285,3356.815,3357.165
428,3357.185,3357.345,3356.885,3356.885
429,3356.915,3357.025,3356.845,3357.025
430,3357.065,3357.155,3356.115,3356.375
431,3356.345,3356.835,3356.265,3356.605
432,3356.555,3356.765,3356.145,3356.495
433,3356.475,3356.475,3355.575,3355.775
434,3355.755,3356.045,3355.485,3355.635
435,3355.645,3355.795,3355.375,3355.615
436,3355.635,3356.875,3355.545,3356.875
437,3356.905,3357.625,3356.835,3357.315
438,3357.355,3357.745,3357.355,3357.545
439,3357.715,3358.265,3357.665,3357.925
440,3357.885,3358.265,3356.585,3356.835
441,3356.795,3356.965,3355.875,3356.635
442,3356.655,3357.195,3355.985,3356.125
443,3356.175,3356.175,3354.785,3354.805
444,3354.835,3355.335,3354.735,3354.975
445,3355.025,3355.565,3354.965,3355.155
446,3355.055,3355.225,3354.825,3355.195
447,3355.105,3355.175,3354.605,3354.605
448,3354.565,3354.995,3354.145,3354.515
449,3354.465,3354.945,3354.135,3354.775
450,3354.805,3355.525,3354.775,3355.205
451,3355.235,3355.365,3354.655,3355.095
452,3354.905,3356.055,3354.825,3356.015
453,3356.055,3356.255,3355.105,3355.175
454,3355.135,3355.345,3354.665,3354.705
455,3354.775,3355.425,3354.625,3355.255
456,3355.285,3355.955,3355.225,3355.405
457,3355.375,3355.465,3354.935,3355.055
458,3354.955,3355.105,3354.505,3354.585
459,3354.475,3354.735,3353.805,3354.115
460,3354.045,3354.565,3353.995,3354.125
461,3354.185,3354.345,3353.975,3354.175
462,3354.185,3354.305,3353.905,3353.935
463,3353.905,3354.255,3353.565,3354.195
464,3354.165,3354.865,3353.815,3353.865
465,3353.885,3355.285,3353.655,3355.055
466,3355.075,3356.135,3354.485,3355.875
467,3355.845,3356.365,3355.755,3355.985
468,3355.955,3355.985,3354.975,3355.245
469,3355.255,3355.985,3355.145,3355.865
470,3355.805,3356.015,3355.525,3355.915
471,3355.905,3355.935,3355.545,3355.545
472,3355.645,3355.805,3355.478,3355.755
473,3355.745,3356.945,3355.695,3356.875
474,3356.835,3358.265,3356.715,3357.555
475,3357.565,3357.975,3357.545,3357.775
476,3357.755,3358.115,3357.485,3357.665
477,3357.695,3358.045,3357.595,3358.005
478,3358.015,3359.315,3357.875,3359.065
479,3359.105,3360.515,3358.995,3360.195
480,3360.165,3361.475,3360.115,3360.975
481,3360.975,3361.055,3359.975,3360.345
482,3360.275,3360.905,3360.175,3360.805
483,3360.855,3361.155,3360.285,3360.305
484,3360.275,3360.495,3360.145,3360.345
485,3360.345,3360.345,3359.185,3359.415
486,3359.405,3360.665,3359.245,3360.495
487,3360.495,3360.685,3360.215,3360.345
488,3360.285,3360.505,3359.015,3359.095
489,3359.125,3359.325,3359.055,3359.205
490,3359.165,3360.215,3358.575,3359.385
491,3359.435,3360.015,3359.345,3359.885
492,3359.845,3359.885,3358.995,3359.875
493,3359.755,3359.965,3359.005,3359.265
494,3359.235,3359.545,3359.125,3359.465
495,3359.415,3359.735,3358.935,3359.085
496,3359.035,3360.405,3359.035,3360.245
497,3360.225,3360.625,3359.045,3359.595
